lncipediaGeneID,ensemblGeneID
lnc-CPN2-4,ENSG00000230102.7
LHX1-DT,ENSG00000277268.1
UBOX5-AS1,ENSG00000235958.5
EWSAT1,ENSG00000212766.9
lnc-FBXL7-2,ENSG00000250448.1
LINC02008,ENSG00000239440.5
lnc-CADM1-1,ENSG00000256281.1
FRY-AS1,ENSG00000237637.1
lnc-MAP1LC3B2-1,ENSG00000257519.1
lnc-SRPRA-9,ENSG00000254938.1
DANCR,ENSG00000226950.6
LINC01139,ENSG00000215808.2
LINC00974,ENSG00000226629.1
LINC02405,ENSG00000249345.6
LINC01094,ENSG00000251442.5
lnc-PPM1M-2,ENSG00000243224.1
lnc-SETD6-1,ENSG00000245768.6
LINC01838,ENSG00000269037.1
MIR31HG,ENSG00000171889.3
LINC00957,ENSG00000235314.1
LINC01270,ENSG00000203999.8
LINC01550,ENSG00000246223.8
lnc-MAP1LC3B2-28,ENSG00000258018.1
IL12A-AS1,ENSG00000244040.6
lnc-NAT1-3,ENSG00000245281.6
lnc-PJVK-2,ENSG00000223960.6
lnc-AKAP3-2,ENSG00000256988.1
ADAMTS9-AS2,ENSG00000241684.5
ELOVL2-AS1,ENSG00000230314.6
PDYN-AS1,ENSG00000233896.1
FENDRR,ENSG00000268388.5
lnc-CREG1-3,ENSG00000241666.2
LINC02424,ENSG00000258220.1
lnc-NXPH1-2,ENSG00000229970.3
VPS33B-DT,ENSG00000214432.9
lnc-MAP1LC3B2-28,ENSG00000196668.3
lnc-C12orf29-1,ENSG00000257940.1
TMEM132D-AS1,ENSG00000249196.6
LINC02459,ENSG00000257476.1
lnc-RHBG-1,ENSG00000237390.1
LYPLAL1-DT,ENSG00000228063.1
lnc-DHX37-6,ENSG00000256494.1
LINC02419,ENSG00000256906.1
lnc-GOLGA6A-1,ENSG00000248540.2
LINC00886,ENSG00000240875.5
lnc-BRF1-1,ENSG00000251602.6
lnc-MAP6-2,ENSG00000247867.2
LINC01227,ENSG00000260737.5
LINC02293,ENSG00000257185.1
lnc-RPP40-1,ENSG00000271978.1
LINC02458,ENSG00000257156.1
LINC00526,ENSG00000265091.5
lnc-JUN-5,ENSG00000224609.6
lnc-CYP7B1-2,ENSG00000254102.1
lnc-GADD45G-3,ENSG00000237372.2
NEXN-AS1,ENSG00000235927.4
lnc-NETO1-1,ENSG00000263711.5
lnc-NKX6-1-2,ENSG00000250546.5
lnc-B3GNT10-1,ENSG00000260970.1
lnc-CTDSP2-1,ENSG00000245651.2
TESC-AS1,ENSG00000258285.1
LINC02350,ENSG00000255595.3
VLDLR-AS1,ENSG00000236404.8
lnc-GJA10-4,ENSG00000260271.1
lnc-ADAMTS20-1,ENSG00000257373.1
LINC01562,ENSG00000203356.2
RNASEH1-AS1,ENSG00000234171.2
DIO3OS,ENSG00000258498.8
SRP14-AS1,ENSG00000248508.6
lnc-NDRG2-1,ENSG00000258471.1
lnc-GLB1L2-4,ENSG00000251226.1
LINC01127,ENSG00000281162.2
lnc-COL20A1-1,ENSG00000203900.2
